+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                 ;
+-------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                             ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+-------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; NiosFast|rst_controller|alt_rst_req_sync_uq1                                                          ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|rst_controller|alt_rst_sync_uq1                                                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|rst_controller                                                                               ; 33    ; 30             ; 0            ; 30             ; 2      ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|irq_mapper                                                                                   ; 3     ; 31             ; 2            ; 31             ; 32     ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|avalon_st_adapter_003|error_adapter_0                                      ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|avalon_st_adapter_003                                                      ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|avalon_st_adapter_002|error_adapter_0                                      ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|avalon_st_adapter_002                                                      ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|avalon_st_adapter_001|error_adapter_0                                      ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|avalon_st_adapter_001                                                      ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|avalon_st_adapter|error_adapter_0                                          ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|avalon_st_adapter                                                          ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|rsp_mux_001|arb|adder                                                      ; 8     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|rsp_mux_001|arb                                                            ; 6     ; 0              ; 4            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|rsp_mux_001                                                                ; 207   ; 0              ; 0            ; 0              ; 104    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|rsp_mux|arb|adder                                                          ; 16    ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|rsp_mux|arb                                                                ; 8     ; 0              ; 4            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|rsp_mux                                                                    ; 411   ; 0              ; 0            ; 0              ; 106    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|rsp_demux_003                                                              ; 105   ; 1              ; 2            ; 1              ; 103    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|rsp_demux_002                                                              ; 106   ; 4              ; 2            ; 4              ; 205    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|rsp_demux_001                                                              ; 106   ; 4              ; 2            ; 4              ; 205    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|rsp_demux                                                                  ; 105   ; 1              ; 2            ; 1              ; 103    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|cmd_mux_003                                                                ; 105   ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|cmd_mux_002|arb|adder                                                      ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|cmd_mux_002|arb                                                            ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|cmd_mux_002                                                                ; 207   ; 0              ; 0            ; 0              ; 104    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|cmd_mux_001|arb|adder                                                      ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|cmd_mux_001|arb                                                            ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|cmd_mux_001                                                                ; 207   ; 0              ; 0            ; 0              ; 104    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|cmd_mux                                                                    ; 105   ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|cmd_demux_001                                                              ; 109   ; 4              ; 4            ; 4              ; 205    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|cmd_demux                                                                  ; 108   ; 16             ; 2            ; 16             ; 409    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|nios2fast_instruction_master_limiter                                       ; 208   ; 0              ; 0            ; 0              ; 209    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|router_005|the_default_decode                                              ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|router_005                                                                 ; 101   ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|router_004|the_default_decode                                              ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|router_004                                                                 ; 101   ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|router_003|the_default_decode                                              ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|router_003                                                                 ; 101   ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|router_002|the_default_decode                                              ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|router_002                                                                 ; 101   ; 0              ; 2            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|router_001|the_default_decode                                              ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|router_001                                                                 ; 101   ; 0              ; 4            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|router|the_default_decode                                                  ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|router                                                                     ; 101   ; 0              ; 4            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|spi_spi_control_port_agent_rsp_fifo                                        ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|spi_spi_control_port_agent|uncompressor                                    ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|spi_spi_control_port_agent                                                 ; 279   ; 39             ; 41           ; 39             ; 299    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|mm_s1_agent_rsp_fifo                                                       ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|mm_s1_agent|uncompressor                                                   ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|mm_s1_agent                                                                ; 279   ; 39             ; 41           ; 39             ; 299    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|nios2fast_debug_mem_slave_agent_rsp_fifo                                   ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|nios2fast_debug_mem_slave_agent|uncompressor                               ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|nios2fast_debug_mem_slave_agent                                            ; 279   ; 39             ; 41           ; 39             ; 299    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|jtag_uart_avalon_jtag_slave_agent_rsp_fifo                                 ; 141   ; 39             ; 0            ; 39             ; 100    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|jtag_uart_avalon_jtag_slave_agent|uncompressor                             ; 37    ; 1              ; 0            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|jtag_uart_avalon_jtag_slave_agent                                          ; 279   ; 39             ; 41           ; 39             ; 299    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|nios2fast_instruction_master_agent                                         ; 169   ; 35             ; 71           ; 35             ; 133    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|nios2fast_data_master_agent                                                ; 169   ; 35             ; 71           ; 35             ; 133    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|spi_spi_control_port_translator                                            ; 88    ; 22             ; 37           ; 22             ; 56     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|mm_s1_translator                                                           ; 104   ; 7              ; 4            ; 7              ; 90     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|nios2fast_debug_mem_slave_translator                                       ; 104   ; 5              ; 12           ; 5              ; 82     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|jtag_uart_avalon_jtag_slave_translator                                     ; 104   ; 5              ; 23           ; 5              ; 70     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|nios2fast_instruction_master_translator                                    ; 105   ; 51             ; 2            ; 51             ; 98     ; 51              ; 51            ; 51              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0|nios2fast_data_master_translator                                           ; 105   ; 12             ; 0            ; 12             ; 97     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|mm_interconnect_0                                                                            ; 198   ; 0              ; 0            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|spi                                                                                          ; 25    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosFast|nios2fast|cpu                                                                                ; 150   ; 1              ; 31           ; 1              ; 117    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
